,ID,TARGET
0,2,0
1,5,0
2,6,0
3,7,1
4,9,0
5,11,1
6,12,0
7,15,1
8,16,0
9,17,0
10,19,0
11,21,0
12,22,0
13,24,0
14,27,0
15,28,0
16,30,1
17,33,0
18,35,1
19,37,1
20,38,0
21,40,1
22,41,1
23,44,0
24,46,0
25,47,0
26,48,0
27,50,0
28,52,1
29,53,1
30,55,1
31,57,0
32,58,0
33,59,1
34,62,0
35,63,1
36,64,1
37,65,0
38,67,1
39,69,0
40,70,0
41,71,0
42,72,0
43,73,0
44,76,0
45,78,1
46,79,0
47,81,0
48,85,0
49,86,0
50,89,1
51,94,1
52,96,0
53,97,0
54,98,1
55,99,1
56,100,1
57,103,1
58,104,0
59,108,0
60,110,0
61,112,1
62,114,1
63,116,0
64,117,0
65,119,0
66,120,0
67,121,1
68,123,0
69,124,0
70,126,1
71,128,1
72,129,0
73,133,0
74,138,0
75,147,1
76,149,1
77,158,0
78,160,0
79,164,0
80,167,0
81,168,0
82,174,1
83,181,0
84,185,1
85,187,0
86,189,0
87,190,0
88,194,0
89,197,0
90,198,1
91,201,1
92,205,0
93,208,0
94,211,0
95,216,1
96,219,0
97,223,0
98,224,1
99,226,1
100,229,0
101,230,0
102,237,0
103,238,1
104,240,1
105,243,0
106,245,1
107,246,1
108,247,0
109,248,0
110,249,0
111,250,1
112,251,1
113,255,1
114,256,0
115,257,0
116,260,1
117,261,0
118,263,1
119,264,1
120,267,0
121,268,0
122,272,0
123,274,0
124,275,1
125,277,1
126,278,1
127,280,0
128,281,0
129,282,0
130,283,0
131,284,0
132,286,1
133,290,0
134,291,0
135,293,1
136,295,0
137,297,0
138,298,1
139,300,0
140,304,1
141,305,0
142,308,0
143,309,0
144,310,0
145,312,0
146,313,1
147,315,0
148,317,0
149,318,1
150,321,0
151,323,1
152,325,0
153,326,1
154,327,0
155,328,1
156,329,1
157,330,1
158,331,0
159,334,1
160,335,0
161,336,0
162,337,0
163,338,1
164,339,1
165,341,0
166,343,0
167,346,0
168,348,1
169,350,0
170,351,0
171,352,1
172,357,0
173,358,1
174,360,0
175,361,1
176,364,0
177,365,0
178,366,0
179,367,0
180,368,0
181,370,1
182,372,0
183,376,0
184,377,1
185,379,0
186,380,1
187,381,1
188,385,1
189,386,1
190,389,1
191,391,0
192,392,1
193,393,0
194,395,0
195,396,0
196,397,0
197,398,0
198,399,0
199,400,0
200,401,0
201,403,0
202,405,0
203,406,0
204,409,1
205,411,0
206,413,0
207,418,0
208,419,1
209,422,1
210,424,1
211,425,1
212,427,0
213,430,0
214,431,1
215,434,1
216,435,1
217,437,1
218,438,0
219,439,1
220,442,1
221,446,1
222,450,0
223,451,1
224,452,0
225,454,0
226,455,0
227,463,1
228,464,1
229,465,0
230,467,1
231,468,0
232,470,0
233,472,0
234,473,1
235,475,0
236,476,0
237,479,1
238,481,0
239,483,0
240,484,0
241,486,0
242,487,0
243,491,1
244,494,0
245,495,0
246,497,0
247,498,0
248,499,0
249,503,1
250,504,1
251,505,0
252,506,0
253,507,0
254,508,1
255,509,1
256,510,0
257,511,0
258,512,0
259,516,1
260,518,0
261,519,0
262,520,0
263,521,1
264,522,0
265,524,1
266,525,0
267,526,1
268,528,1
269,529,0
270,531,0
271,532,1
272,534,0
273,536,0
274,539,0
275,540,0
276,541,0
277,542,1
278,545,0
279,546,1
280,552,0
281,556,0
282,557,1
283,559,0
284,562,0
285,563,0
286,565,0
287,569,0
288,570,1
289,574,0
290,575,0
291,585,0
292,589,0
293,590,0
294,592,1
295,593,0
296,594,1
297,595,1
298,597,0
299,601,0
300,603,0
301,604,0
302,605,0
303,607,0
304,608,0
305,610,1
306,612,0
307,613,0
308,615,0
309,616,1
310,617,1
311,619,0
312,620,1
313,621,1
314,624,0
315,625,1
316,628,0
317,629,1
318,630,1
319,632,1
320,634,1
321,637,1
322,638,0
323,642,1
324,643,0
325,644,1
326,646,0
327,655,1
328,660,1
329,664,0
330,665,0
331,666,0
332,670,1
333,671,1
334,672,0
335,675,1
336,676,0
337,677,1
338,678,0
339,680,1
340,683,1
341,684,1
342,685,0
343,691,0
344,693,0
345,696,0
346,698,0
347,699,1
348,700,0
349,703,0
350,704,0
351,705,0
352,707,1
353,709,0
354,711,1
355,713,1
356,716,0
357,719,0
358,721,1
359,722,0
360,723,0
361,724,0
362,727,1
363,728,1
364,729,0
365,733,1
366,736,0
367,739,0
368,742,1
369,743,0
370,744,0
371,745,1
372,747,0
373,749,0
374,750,0
375,751,0
376,752,0
377,755,1
378,756,0
379,762,0
380,763,1
381,764,0
382,765,1
383,766,1
384,769,0
385,770,0
386,773,0
387,774,0
388,776,0
389,777,1
390,778,0
391,779,1
392,780,0
393,781,0
394,786,0
395,788,0
396,794,1
397,796,1
398,801,0
399,802,1
400,803,0
401,804,1
402,805,0
403,809,1
404,810,1
405,817,0
406,819,0
407,821,0
408,824,1
409,825,0
410,826,1
411,830,0
412,831,0
413,832,1
414,833,0
415,837,1
416,839,1
417,840,0
418,841,0
419,842,1
420,843,0
421,844,0
422,845,1
423,848,0
424,853,0
425,854,0
426,855,0
427,856,0
428,861,0
429,865,1
430,866,0
431,867,0
432,870,0
433,871,1
434,872,1
435,873,1
436,874,0
437,875,0
438,876,0
439,879,1
440,880,0
441,883,0
442,884,0
443,886,0
444,890,1
